word	Spam	Ham
ax	0	1
cream	0	4
yoga	0	6
tight	0	2
beverage	0	1
yummmm	0	1
puppy	0	1
refunded	1	0
openin	0	1
gifts	0	1
tiwary	0	2
terry	0	1
closeby	0	1
natalie	1	0
posible	0	1
hello	4	40
adam	2	0
norcorp	1	0
cps	0	1
original	4	1
cheetos	0	1
sch	0	20
mandy	1	0
beware	1	2
mns	0	1
nange	0	1
dsn	0	1
hunting	0	1
neft	0	2
tv	9	24
tt	0	4
tr	0	2
ts	11	0
tp	0	1
hillsborough	0	1
to	468	1219
nora	0	1
tm	0	4
th	5	28
legitimat	1	0
tf	3	0
smile	0	34
te	0	1
tb	1	3
tc	10	4
norm	8	1
ta	1	6
mufti	0	1
paying	1	7
colany	0	1
appointment	0	4
pple	0	5
perumbavoor	0	1
checkin	0	1
puzzles	0	1
dontignore	0	1
manageable	0	1
condition	1	1
cable	0	1
harri	0	1
shanil	0	1
laying	0	1
joined	2	6
looovvve	0	1
large	1	0
wrnog	0	2
sane	0	1
harry	2	0
small	0	11
accommodationvouchers	1	0
antibiotic	0	1
hasbro	0	1
past	0	7
sandiago	0	1
pass	5	7
healer	0	1
clock	0	3
section	0	1
fucks	0	1
burgundy	0	1
method	0	1
revealing	0	1
hasn	0	4
full	0	21
sarasota	0	2
bookedthe	0	1
diapers	0	1
vomiting	0	2
hours	6	16
itwhichturnedinto	0	2
november	1	0
sender	1	2
showrooms	0	1
experience	0	7
pics	11	7
tomorw	0	1
prior	0	1
hamster	0	2
social	0	5
action	4	0
countin	0	2
goss	0	1
vic	0	1
via	3	9
followed	2	1
chinchillas	0	1
vid	1	1
vip	3	0
savamob	8	0
pulls	0	1
gosh	0	1
select	1	1
portege	0	1
kaitlyn	0	1
pears	0	1
toaday	0	1
sitter	0	1
morn	0	3
wavering	0	1
gorgeous	0	4
more	27	77
door	1	7
gnun	0	1
company	2	15
spoilt	0	1
keeping	0	6
science	0	3
installing	0	2
mall	0	3
learn	2	5
male	3	0
morrowxxxx	0	1
beautiful	0	19
mnth	2	1
libertines	1	0
dislikes	0	3
accept	0	6
prsn	0	1
sense	0	7
dress	0	3
axis	0	1
huge	0	2
dino	0	1
xxxx	1	4
liver	0	1
hugh	0	1
monkeespeople	0	1
boooo	0	1
hugs	0	2
upto	2	2
plans	0	11
soundtrack	1	0
plane	0	3
waves	0	1
lanka	0	1
agalla	0	1
vijay	0	4
register	2	1
rowdy	0	1
wrench	0	1
replied	1	5
thmarch	1	0
bowl	0	4
trade	0	2
immunisation	0	1
attitude	0	1
paper	0	9
itz	0	3
brin	0	1
replies	1	0
smiling	0	16
its	6	204
astrology	0	1
saucy	3	0
alle	0	1
licks	0	2
wrc	2	0
figuring	0	1
allo	0	1
wrk	0	2
symptoms	0	1
praveesh	0	1
ruining	0	2
travelling	0	1
sucker	0	1
getsleep	0	1
snowball	0	1
enufcredeit	0	1
designation	0	1
everytime	0	1
coping	0	2
always	0	58
nauseous	0	1
swimsuit	0	1
found	1	15
shocking	0	2
aletter	0	1
status	0	2
england	8	1
upstairs	0	2
mums	0	1
forwarding	0	1
throwin	0	1
reduce	0	2
tonite	0	9
millers	0	1
really	1	82
try	7	45
inlude	0	1
missed	2	23
research	0	4
offline	0	1
occurs	0	1
bye	0	5
steering	0	1
jeremiah	0	1
abnormally	0	1
reslove	0	1
eightish	0	1
dippeditinadew	0	2
pairs	0	1
w	48	15
prabha	0	4
major	0	3
bedreal	0	1
belligerent	0	1
number	30	62
guai	0	1
celeb	3	0
ironing	0	1
elama	0	1
stage	0	1
inshah	0	2
guess	7	31
heads	0	2
sonyericsson	5	0
jet	0	1
zindgi	0	1
jez	0	1
tata	0	1
jen	0	4
tats	0	1
relationship	0	1
deeraj	0	2
mmmm	0	3
burrito	0	1
essexcm	2	0
stairs	0	1
grace	0	2
legs	0	3
rememberi	0	1
mcfly	1	0
aah	0	3
determined	0	1
marriage	0	6
video	29	2
fights	0	2
beforehand	0	1
ipaditan	0	1
sell	1	8
self	2	7
also	3	68
internal	0	1
somtimes	0	2
sherawat	0	1
play	18	21
singles	5	0
aiyar	0	4
aiyah	0	6
plan	0	32
tips	1	0
oyster	0	1
exe	0	2
thirunelvali	0	1
sometimes	0	7
cover	0	8
ext	0	1
lounge	1	2
exp	1	0
asus	0	1
barrel	0	1
chechi	0	3
ugh	0	12
ugo	0	1
gold	1	1
ovulate	0	1
parantella	0	1
nasdaq	2	0
oja	1	0
sayin	0	1
xxxxxxxxx	3	0
failed	1	2
quizzes	0	1
scarcasim	0	1
banned	1	0
sunny	0	6
resent	1	0
compass	0	1
wetherspoons	0	1
enemy	0	4
cry	0	4
seperated	0	1
barolla	0	1
river	0	2
cro	1	0
pleasured	0	1
storming	0	3
set	1	19
jade	0	1
sez	0	1
jada	0	4
sex	11	2
sef	0	1
see	19	139
sed	1	5
sec	0	5
swayze	0	1
sea	0	15
sips	0	1
sen	0	5
sem	0	2
aberdeen	1	0
seh	0	1
jaklin	0	1
movie	2	18
currently	10	3
rite	0	19
nope	0	15
available	3	15
bajarangabali	0	1
incident	0	3
renewed	1	0
ndship	0	1
prospects	0	3
last	13	65
desparately	0	1
thou	0	1
thot	0	2
barely	0	6
connection	1	4
wondarfull	0	1
maneesha	0	3
accomodations	0	1
whole	0	14
patty	0	2
load	0	1
drunk	0	3
loan	4	5
community	2	1
rofl	0	3
agents	0	1
frosty	0	1
church	0	4
ollu	0	1
belt	0	1
worthless	0	1
filth	1	0
monthly	1	2
winterstone	0	1
claimcode	1	0
xam	0	2
mindset	0	1
sweetheart	0	2
funs	0	1
fire	0	2
fund	1	0
awake	0	7
representative	10	0
funk	2	0
semiobscure	0	1
straight	2	3
tip	0	1
budget	0	6
receive	29	5
piah	0	1
error	1	1
kissing	0	1
ami	0	1
pound	7	2
hoping	0	9
triple	1	0
noncomittal	0	1
chase	0	2
funny	0	8
sounding	0	1
everyso	0	1
agidhane	0	1
shorter	0	3
rules	0	1
kodthini	0	1
forgiveness	0	1
comprehensive	0	1
alert	4	0
walmart	0	3
necessity	0	1
euro	6	0
amy	1	1
tomorro	0	2
wicklow	2	0
knw	0	13
leona	0	4
wewa	0	1
dieting	0	1
nannys	0	1
kalaachutaarama	0	1
rumbling	0	1
amp	0	71
temales	0	1
psp	1	0
readers	2	0
admission	0	1
thesmszone	1	0
hoody	1	0
shexy	0	1
snappy	1	0
xuhui	0	3
location	0	2
crying	0	1
mandan	0	2
surprised	0	4
chess	0	1
australia	1	0
emergency	0	1
format	1	1
couple	1	12
coupla	0	1
suffering	0	1
projects	0	1
formal	0	1
sorting	0	3
vday	0	2
stylist	0	1
consensus	0	1
continue	0	2
stylish	0	5
iwana	0	1
spring	0	2
enketa	0	1
sighs	0	5
unmits	0	1
palm	0	1
sight	0	4
parchi	0	1
curious	0	2
sprint	0	1
wishin	0	2
pale	0	2
mummy	0	3
novelty	0	1
behave	0	3
dating	17	0
temple	0	4
t	90	330
be	50	305
bf	0	5
ba	1	2
bb	1	9
bc	0	2
bk	0	2
bt	17	20
bw	0	1
bp	2	0
nowhere	0	1
santa	2	0
bx	9	0
by	32	130
wildlife	0	1
anything	0	72
netflix	0	1
tocall	0	1
unintentional	0	1
repair	0	2
computational	0	1
doesdiscount	0	1
garbage	0	2
into	6	30
erutupalam	0	1
appropriate	0	1
troubleshooting	0	1
prayrs	0	1
arcade	3	0
spam	1	0
spending	0	4
custom	0	2
occupy	0	2
bcaz	0	1
elsewhere	0	3
inches	0	4
link	6	4
competition	3	3
line	35	8
posted	0	6
geting	0	1
redeemed	12	0
uv	0	1
up	21	278
us	9	53
ur	114	196
um	0	1
maturity	0	2
un	12	1
customers	2	0
uh	0	2
uk	70	1
faded	0	1
ud	0	1
supervisor	0	3
chad	0	1
haunt	0	1
chat	38	14
hail	0	1
intrepid	0	1
edwards	0	1
definitely	1	6
nobbing	0	1
revision	0	2
prashanthettan	0	1
sportsx	0	1
wrongly	0	1
fishrman	0	1
romcapspam	1	0
aust	0	1
meals	0	1
ago	0	13
tohar	0	1
lane	0	2
land	18	0
texted	0	4
age	24	5
walked	0	3
hella	0	4
fresh	0	1
having	0	42
noooooooo	0	1
insha	0	3
code	30	1
results	3	2
totes	0	1
legal	0	4
gossip	1	2
chillin	0	3
seemed	0	4
concerned	0	1
tkls	1	0
young	0	1
send	70	125
birla	0	3
sent	10	57
uploaded	0	1
stocked	0	1
garden	2	0
torture	0	1
account	19	16
tulsi	0	1
decorating	0	1
isaiah	0	1
continued	1	0
wipe	0	1
categories	0	1
magic	0	1
evn	0	3
evo	0	1
eva	0	2
marry	0	6
gettin	2	7
eve	5	14
calicut	0	3
mahaveer	0	1
evr	0	2
leonardo	0	1
odi	0	2
hyde	0	2
deltomorrow	1	0
monkeyaround	0	1
tmorrow	0	1
index	2	0
urgoin	0	1
business	0	3
weiyi	0	1
multimedia	0	1
consistently	0	1
indian	0	6
twins	0	1
biro	0	1
flowing	0	2
whassup	0	1
bird	0	2
scenery	0	1
leg	0	1
leh	0	29
lei	0	23
punch	0	1
leo	0	1
les	0	1
let	4	73
customercare	1	0
fifteen	0	4
great	11	97
casing	0	1
cts	0	1
technical	0	4
involved	0	1
rdy	0	1
eatin	0	6
survey	1	1
defeat	0	2
popcorn	1	1
opinion	0	8
makes	0	20
explain	0	4
thats	0	43
firefox	0	1
asusual	0	1
mens	1	0
standing	0	3
confidence	0	4
cheered	0	1
certificate	0	1
next	15	45
eleven	0	1
doubt	0	2
babe	7	69
possessiveness	0	1
baby	2	28
gokila	0	1
charity	3	0
customer	49	9
balls	0	1
practicing	0	2
this	86	233
challenge	1	2
prompts	2	0
thin	0	1
thia	0	1
process	0	6
lock	0	2
pieces	0	3
high	3	4
bend	0	1
slip	0	2
textand	1	0
educational	0	2
customersqueries	1	0
yarasu	0	2
delay	0	2
animal	0	1
locaxx	0	1
comedy	0	4
intelligent	0	4
stand	0	8
pub	2	16
shitinnit	0	1
await	19	1
notebook	0	1
evry	0	2
marrow	0	2
ou	1	0
realized	0	3
realizes	0	1
allow	1	1
antelope	0	1
move	0	11
visionsms	2	0
spatula	0	1
woozles	0	1
perfect	1	3
otbox	1	0
chosen	3	0
shola	0	1
lamp	0	1
tyrone	4	0
degrees	0	1
hmmross	1	0
cust	4	0
gving	0	2
docs	0	3
kisi	0	1
earn	0	2
dock	0	1
snake	0	2
kiss	0	28
cage	0	1
realize	1	2
docd	0	1
iccha	0	1
ecstacy	1	0
betta	0	1
goodtime	0	1
truth	0	10
shortage	0	3
beneath	0	2
bettr	0	1
doing	0	88
croydon	7	0
books	0	3
irritation	0	1
twiggs	0	1
matrix	3	0
borderline	0	1
bag	0	7
hilarious	0	1
muht	0	1
matric	0	1
barkleys	1	0
shitload	0	2
wallpaper	3	0
durban	0	2
shud	0	1
surely	0	6
shun	0	1
proove	0	1
forwarded	4	5
scary	0	3
hunks	1	0
could	7	49
lovly	0	1
put	1	28
spile	0	2
length	0	1
logoff	0	1
frens	0	8
kaiez	0	2
blown	0	1
owned	0	1
jesus	0	5
chinky	0	1
collages	0	1
enjoyin	0	2
payoh	0	3
thfeb	1	0
festival	0	1
system	0	6
mtmsg	5	0
backdoor	1	0
travelled	0	1
tosend	0	1
painful	0	3
stomach	0	3
stars	1	2
shorts	0	1
beatings	0	1
vouch	1	0
unsubscribe	18	0
anyones	0	1
zogtorius	0	1
haven	1	24
colleagues	0	7
dhanush	0	1
steed	0	1
bother	0	7
gays	0	1
anyplaces	0	1
collecting	0	3
kalainar	0	1
beggar	0	1
twittering	0	1
trusting	0	1
partnership	0	2
tessy	0	3
spelled	0	1
reassuring	0	1
tonight	2	56
gentle	0	4
clearly	0	2
documents	0	1
wahleykkum	0	1
studying	0	9
eerulli	0	1
netcollex	4	0
babes	2	4
korean	0	1
lily	2	0
toughest	0	1
lancaster	0	1
muchand	0	1
doug	0	1
visa	0	1
jul	1	0
aathi	0	6
device	0	1
placement	0	2
thanksgiving	0	3
face	0	20
painting	0	2
fact	1	9
wotz	0	1
oreos	0	1
havebeen	0	1
wotu	0	1
bring	0	24
manchester	1	0
postcode	3	0
bedroom	1	7
rough	0	1
chgs	1	0
instituitions	0	4
jaz	0	1
jay	0	14
jas	0	2
jap	0	1
should	7	82
jan	0	3
jam	0	1
wrking	0	1
hope	4	108
meant	0	14
jackpot	2	0
handle	0	4
sweetie	0	2
listened	0	1
means	0	26
familiar	0	1
lucky	8	9
listener	0	1
shaping	0	1
smash	0	1
yaxxx	0	1
cheyyamo	0	1
h	5	5
taxes	0	1
summon	0	1
stuff	1	43
gbp	16	0
guessing	0	2
btw	0	5
pocketbabe	3	0
somewheresomeone	0	1
pavanaputra	0	1
edition	0	1
cfca	1	0
skateboarding	0	1
wire	1	0
destiny	0	1
nuclear	0	1
pases	0	1
email	1	17
ends	4	8
explosive	2	0
brison	0	1
dartboard	1	0
badrith	0	1
feellikw	0	1
staring	0	2
restrictions	1	0
tantrum	0	1
tlp	3	0
drum	0	1
invited	5	8
drug	0	5
etc	7	5
honey	0	8
eta	0	2
figures	0	2
bristol	0	2
tlk	0	2
subtoitles	0	1
ch	2	0
co	52	2
cn	0	3
cm	5	1
cl	0	1
cc	7	0
cd	8	1
cs	44	0
cr	9	1
winning	0	3
cw	4	0
admin	0	2
cu	0	1
outsider	0	1
cbe	0	5
rhode	0	1
poured	0	1
hottest	1	0
waste	0	7
describe	0	1
sophas	0	1
soonlots	0	1
neighbour	0	3
graphics	1	0
atlanta	0	4
spain	0	1
childporn	0	1
hahaha	0	3
velachery	0	1
va	0	1
stuffing	0	1
